CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,3,3,1,0,0.6,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,4,0,0,9,4,16,21,1,10,0,0,0,0,0,9,0,0,2,4,12,17,1,46,56,19,4,4,4,9,0,8,0,11,11,15,10,0,46,56,19,4,4,4,9,0,8,0,11,11,15,10,0,false
0,0,0,0,0,0,0,0,0,0,0,1,3,15,4,0,1,0,0,0,0,0,1,0,0,1,2,4,15,2,6,7,16,0,1,0,1,0,0,0,3,1,15,2,0,6,7,16,0,1,0,1,0,0,0,3,1,15,2,0,false
0.14,1,8,2,0.107317,0.113402,22,22,2,2,2,37,8,0,0,10,18,0.111111,0.03,6,5,1,8,0.03,6,0,0,0,0,0,194,205,1,1,1,1,8,0,8,0,8,184,0,8,0,194,205,1,1,1,1,8,0,8,0,8,184,0,8,0,false
0,0,0,0,0,0,0,0,2,1,1,6,3,3,2,2,6,0,0,0,0,0,5,0,0,3,5,1,1,1,20,24,20,4,1,0,4,0,4,0,13,7,15,12,0,20,24,20,4,1,0,4,0,4,0,13,7,15,12,0,false
0,0,0,0,0,0,0,0,1,0,0,3,3,1,1,2,5,0,0,0,0,0,4,0,0,2,3,0,0,1,11,14,16,0,0,0,3,0,3,0,4,3,15,3,0,11,14,16,0,0,0,3,0,3,0,4,3,15,3,0,false
0,0,0,0,0,0,0,0,3,1,1,15,9,0,0,20,25,0.166667,0.054945,5,5,1,5,0.05641,11,0,0,0,0,0,86,111,1,0,1,0,5,0,5,0,5,73,0,5,0,184,235,3,0,3,0,15,0,13,0,20,145,0,18,0,false
0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,1,6,6,0,0,0,0,1,0,1,0,6,1,0,6,0,6,6,0,0,0,0,1,0,1,0,6,1,0,6,0,false
0,0,0,0,0,0,0,0,1,2,2,11,3,1,4,3,12,0,0.06,6,0,0,8,0.06,6,0,0,0,0,0,94,120,2,0,2,0,9,0,7,0,9,71,0,7,0,94,120,2,0,2,0,9,0,7,0,9,71,0,7,0,false
0,0,0,0,0,0,0,0,1,3,2,43,33,6,4,45,77,0,0,0,0,0,33,0.003425,1,1,2,0,0,2,226,260,32,4,17,4,32,0,32,0,32,99,15,32,0,291,332,39,8,20,4,39,0,37,0,48,124,15,45,0,false
0,0,0,0,0,0,0,0,1,1,1,3,5,1,1,4,6,0,0,0,0,0,2,0,0,0,0,0,0,0,16,18,1,0,1,0,2,0,1,0,2,6,0,1,0,16,18,1,0,1,0,2,0,1,0,2,6,0,1,0,false
0,0,0,0,0,0,0,0,1,3,3,8,6,1,2,4,7,0,0.02381,1,0,0,3,0.02,1,0,0,0,0,0,41,45,2,0,2,0,3,0,2,0,3,17,0,2,0,49,54,21,4,2,0,5,0,4,0,14,19,15,12,0,false
0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,2,0,0,0,0,0,3,0,0,3,5,0,0,1,10,11,19,4,0,0,2,0,2,0,11,2,15,10,0,10,11,19,4,0,0,2,0,2,0,11,2,15,10,0,false
0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,1,0,0,0,0,0,1,0,0,2,2,4,4,1,6,7,16,0,1,0,1,0,0,0,2,1,15,1,0,6,7,16,0,1,0,1,0,0,0,2,1,15,1,0,false
0,0,0,0,0,0,0,0,3,1,1,11,3,2,2,2,10,0,0,0,0,0,9,0,0,3,5,0,0,1,44,52,23,6,4,2,8,0,8,1,17,15,15,16,1,44,52,23,6,4,2,8,0,8,1,17,15,15,16,1,false
0,0,0,0,0,0,0,0,1,1,1,4,4,0,0,1,2,0,0,0,0,0,2,0,0,2,2,0,0,1,19,19,15,0,0,0,1,0,1,0,1,12,15,1,0,19,19,15,0,0,0,1,0,1,0,1,12,15,1,0,false
0,0,0,0,0,0,0,0,1,2,2,8,5,1,1,9,12,0,0,0,0,0,4,0,0,3,4,0,0,1,37,41,18,0,0,0,3,0,3,0,7,21,17,5,0,37,41,18,0,0,0,3,0,3,0,7,21,17,5,0,false
0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,1,3,0,0,0,0,0,3,0,0,4,6,0,0,1,9,11,20,4,0,0,2,0,2,0,15,2,15,14,0,9,11,20,4,0,0,2,0,2,0,15,2,15,14,0,false
0,0,0,0,0,0,0,0,2,2,1,10,5,9,8,4,9,0,0,0,0,0,6,0,0,3,5,0,0,1,45,50,21,4,2,0,5,0,5,0,14,23,15,13,0,45,50,21,4,2,0,5,0,5,0,14,23,15,13,0,false
0,0,0,0,0,0,0,0,1,0,0,3,3,1,1,2,5,0,0,0,0,0,4,0,0,2,3,0,0,1,11,14,16,0,0,0,3,0,3,0,4,3,15,3,0,11,14,16,0,0,0,3,0,3,0,4,3,15,3,0,false
0,0,0,0,0,0,0,0,2,1,1,14,5,3,4,4,11,0,0,0,0,0,8,0,0,3,5,1,1,1,45,52,22,7,3,3,7,0,7,1,16,14,15,15,1,45,52,22,7,3,3,7,0,7,1,16,14,15,15,1,false
0,0,0,0,0,0,0,0,1,2,2,3,6,0,0,4,5,0,0,0,0,0,2,0,0,2,2,0,0,1,17,18,15,0,0,0,1,0,1,0,1,10,15,1,0,17,18,15,0,0,0,1,0,1,0,1,10,15,1,0,false
0.25,1,3,1,0.222222,0.235294,12,12,1,5,3,11,9,1,1,14,17,0,0,0,0,0,4,0,0,3,4,0,0,1,51,54,20,1,2,1,3,0,3,0,7,31,17,5,0,51,54,20,1,2,1,3,0,3,0,7,31,17,5,0,false
0,0,0,0,0,0,0,0,3,1,1,9,2,2,3,1,8,0.125,0.131579,5,5,1,7,0.131579,5,3,5,0,0,1,33,41,23,6,4,2,7,0,7,1,16,12,15,15,1,33,41,23,6,4,2,7,0,7,1,16,12,15,15,1,false
0.917526,2,7,2,0.777778,0.807692,21,21,1,1,1,5,6,0,0,3,5,0.333333,0.16129,5,5,1,2,0.16129,5,3,3,0,0,1,26,27,16,0,0,0,2,0,2,0,3,15,15,2,0,26,27,16,0,0,0,2,0,2,0,3,15,15,2,0,false
0.24594,3,9,3,0.27381,0.291139,23,23,1,5,3,21,15,1,1,27,30,0.25,0.059524,5,5,1,3,0.059524,5,3,4,0,0,1,79,84,19,0,1,0,3,0,3,0,7,53,17,5,0,79,84,19,0,1,0,3,0,3,0,7,53,17,5,0,false
0,0,0,0,0,0,0,0,2,1,1,8,2,8,9,1,4,0.333333,0.147059,5,5,1,2,0.147059,5,2,3,8,8,1,29,35,18,0,2,0,3,2,2,0,6,20,17,4,0,29,35,18,0,2,0,3,2,2,0,6,20,17,4,0,false
0.131841,2,9,2,0.141509,0.141304,15,13,1,1,1,19,5,5,5,2,13,0,0,0,0,0,12,0,0,1,2,0,0,2,92,106,18,3,3,3,11,0,11,0,11,48,15,11,0,92,106,18,3,3,3,11,0,11,0,11,48,15,11,0,false
0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,1,3,0,0,0,0,0,3,0,0,4,6,0,0,1,12,14,22,7,0,0,2,0,2,0,18,2,15,17,1,12,14,22,7,0,0,2,0,2,0,18,2,15,17,1,false
0,0,0,0,0,0,0,0,2,3,3,19,4,2,3,3,14,0,0,0,0,0,11,0,0,3,5,0,0,1,86,97,26,8,7,4,11,0,10,2,20,33,15,18,2,86,97,26,8,7,4,11,0,10,2,20,33,15,18,2,false
0.317881,1,3,1,0.307692,0.315789,12,12,1,1,1,7,7,0,0,3,5,0,0,0,0,0,3,0,0,3,3,0,0,1,38,39,16,0,0,0,2,0,2,1,3,23,15,2,1,38,39,16,0,0,0,2,0,2,1,3,23,15,2,1,false
0.215517,3,15,5,0.226667,0.272,34,34,1,10,4,28,13,1,1,27,30,0.25,0.137931,20,20,1,3,0.137931,20,3,4,0,0,1,125,150,19,0,1,0,3,0,3,1,7,80,17,5,1,125,150,19,0,1,0,3,0,3,1,7,80,17,5,1,false
0,0,0,0,0,0,0,0,3,1,1,7,2,2,2,2,7,0,0,0,0,0,6,0,0,3,5,0,0,1,24,29,20,4,1,0,5,0,5,1,14,7,15,13,1,24,29,20,4,1,0,5,0,5,1,14,7,15,13,1,false
0,0,0,0,0,0,0,0,1,3,1,5,9,0,0,5,7,0,0,0,0,0,3,0,0,3,3,0,0,1,16,17,16,0,0,0,2,0,2,0,3,8,15,2,0,16,17,16,0,0,0,2,0,2,0,3,8,15,2,0,false
0,0,0,0,0,0,0,0,1,2,2,6,10,1,1,9,12,0,0,0,0,0,4,0,0,3,4,0,0,1,22,26,19,0,1,0,3,0,3,0,7,10,17,5,0,22,26,19,0,1,0,3,0,3,0,7,10,17,5,0,false
0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1,0.5,0.322581,10,9,1,1,0.322581,10,0,0,0,0,0,21,32,17,0,17,0,1,17,1,0,1,0,17,1,0,21,32,17,0,17,0,1,17,1,0,1,0,17,1,0,false
0,0,0,0,0,0,0,0,3,1,1,8,6,2,2,4,11,0,0,0,0,0,6,0,0,3,5,0,0,1,73,81,38,4,19,0,7,0,5,1,16,35,15,13,1,73,81,38,4,19,0,7,0,5,1,16,35,15,13,1,false
0,0,0,0,0,0,0,0,1,0,0,3,5,1,1,4,7,0,0,0,0,0,4,0,0,3,4,0,0,1,13,16,18,0,0,0,3,0,3,0,7,5,17,5,0,13,16,18,0,0,0,3,0,3,0,7,5,17,5,0,false
0,0,0,0,0,0,0,0,3,1,1,10,3,2,3,1,8,0.125,0.121951,5,5,1,7,0.121951,5,3,5,0,0,1,36,44,23,6,4,2,7,0,7,1,16,14,15,15,1,36,44,23,6,4,2,7,0,7,1,16,14,15,15,1,false
0.917526,2,7,2,0.75,0.807692,21,21,1,1,1,5,6,0,0,3,5,0.333333,0.16129,5,5,1,2,0.16129,5,3,3,0,0,1,26,28,16,0,0,0,2,0,2,0,3,15,15,2,0,26,28,16,0,0,0,2,0,2,0,3,15,15,2,0,false
0.468182,2,6,2,0.407407,0.44898,22,22,1,2,2,10,9,1,1,15,18,0.25,0.092593,5,5,1,3,0.092593,5,3,4,0,0,1,49,54,19,0,1,0,3,0,3,0,7,30,17,5,0,49,54,19,0,1,0,3,0,3,0,7,30,17,5,0,false
0,0,0,0,0,0,0,0,2,0,0,3,3,2,1,2,5,0,0,0,0,0,3,0,0,3,5,0,0,1,13,17,20,4,1,0,3,0,2,0,12,4,15,10,0,13,17,20,4,1,0,3,0,2,0,12,4,15,10,0,false
0,0,0,0,0,0,0,0,1,0,0,3,5,1,1,2,5,0.25,0.3125,5,5,1,3,0.3125,5,3,4,0,0,1,11,13,18,0,0,0,3,0,3,0,7,3,17,5,0,11,13,18,0,0,0,3,0,3,0,7,3,17,5,0,false
0,0,0,0,0,0,0,0,3,1,1,14,5,8,10,4,14,0.090909,0.091837,9,9,1,10,0.091837,9,3,5,3,3,1,89,111,37,5,18,1,10,16,10,2,20,38,31,19,2,89,111,37,5,18,1,10,16,10,2,20,38,31,19,2,false
0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,2,0,0,0,0,0,1,0,0,2,3,3,3,1,10,11,21,0,5,0,1,5,0,0,4,1,20,2,0,10,11,21,0,5,0,1,5,0,0,4,1,20,2,0,false
0.779661,1,5,1,0.636364,0.7,14,14,1,3,3,6,2,2,1,1,3,0,0,0,0,0,3,0,0,4,6,0,0,1,20,22,38,5,1,0,2,0,2,0,21,10,31,20,2,20,22,38,5,1,0,2,0,2,0,21,10,31,20,2,false
0.951219,1,2,1,0.785714,0.846154,11,11,1,1,1,2,6,0,0,2,3,0,0,0,0,0,2,0,0,2,2,0,0,1,13,14,15,0,0,0,1,0,1,0,1,7,15,1,0,13,14,15,0,0,0,1,0,1,0,1,7,15,1,0,false
0,0,0,0,0,0,0,0,1,6,3,12,7,1,1,14,17,0,0.040816,2,0,0,4,0.040816,2,3,4,0,0,1,47,53,21,0,0,0,3,0,3,0,5,31,20,3,0,47,53,21,0,0,0,3,0,3,0,5,31,20,3,0,false
0.779661,1,5,1,0.636364,0.7,14,14,1,3,3,6,2,2,1,1,3,0,0,0,0,0,3,0,0,4,6,0,0,1,20,22,38,5,1,0,2,0,2,0,21,10,31,20,2,20,22,38,5,1,0,2,0,2,0,21,10,31,20,2,false
0.951219,1,2,1,0.785714,0.846154,11,11,1,1,1,2,6,0,0,2,3,0,0,0,0,0,2,0,0,2,2,0,0,1,13,14,15,0,0,0,1,0,1,0,1,7,15,1,0,13,14,15,0,0,0,1,0,1,0,1,7,15,1,0,false
0,0,0,0,0,0,0,0,1,4,2,15,11,1,1,22,26,0,0,0,0,0,4,0,0,3,4,0,0,1,64,71,22,0,1,0,4,1,3,0,6,45,21,3,0,64,71,22,0,1,0,4,1,3,0,6,45,21,3,0,false
0.1,1,3,1,0.094203,0.113043,13,13,1,4,4,44,6,2,4,6,14,0.166667,0.108527,14,13,1,5,0.108527,14,4,6,0,0,1,115,138,44,7,7,2,8,0,5,0,27,67,31,23,2,115,138,44,7,7,2,8,0,5,0,27,67,31,23,2,false
0,0,0,0,0,0,0,0,1,1,1,2,6,0,0,2,3,0,0,0,0,0,2,0,0,2,2,0,0,1,13,14,15,0,0,0,1,0,1,0,1,7,15,1,0,13,14,15,0,0,0,1,0,1,0,1,7,15,1,0,false
0,0,0,0,0,0,0,0,1,4,2,16,11,1,1,17,23,0,0,0,0,0,4,0,0,3,4,0,0,1,83,92,22,0,1,0,6,0,3,0,8,53,20,3,0,83,92,22,0,1,0,6,0,3,0,8,53,20,3,0,false
0,0,0,0,0,0,0,0,1,2,1,12,5,4,5,3,12,0,0,0,0,0,10,0,0,1,1,0,0,1,53,63,2,2,2,2,9,0,9,2,9,21,0,9,2,53,63,2,2,2,2,9,0,9,2,9,21,0,9,2,false
0,0,0,0,0,0,0,0,0,1,1,6,2,1,2,5,8,0,0,0,0,0,4,0,0,0,0,0,0,0,23,27,2,1,2,1,3,0,3,1,3,10,0,3,1,23,27,2,1,2,1,3,0,3,1,3,10,0,3,1,false
0,0,0,0,0,0,0,0,1,1,1,9,4,2,3,6,13,0,0.056604,3,3,0,7,0.056604,3,0,0,0,0,0,50,62,3,3,3,3,7,0,6,0,7,29,0,6,0,50,62,3,3,3,3,7,0,6,0,7,29,0,6,0,false
0,0,0,0,0,0,0,0,1,1,1,11,3,1,2,4,11,0,0.075472,4,4,0,3,0.075472,4,0,0,0,0,0,49,60,3,3,3,3,7,0,2,0,7,25,0,2,0,49,60,3,3,3,3,7,0,2,0,7,25,0,2,0,false
0,0,0,0,0,0,0,0,1,1,1,3,3,1,1,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,20,22,0,0,0,0,2,0,1,0,2,10,0,1,0,20,22,0,0,0,0,2,0,1,0,2,10,0,1,0,false
0,0,0,0,0,0,0,0,1,1,1,3,1,2,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,1,0,2,5,0,1,0,13,14,0,0,0,0,2,0,1,0,2,5,0,1,0,false
0,0,0,0,0,0,0,0,1,3,3,10,5,3,5,7,11,0,0,0,0,0,3,0,0,0,0,0,0,0,43,48,1,1,1,1,4,0,2,0,4,28,0,2,0,174,203,2,8,2,8,20,0,7,0,20,111,0,7,0,true
0,0,0,0,0,0,0,0,1,5,3,53,5,1,1,6,22,0,0,0,0,0,6,0,0,0,0,0,0,0,131,155,1,7,1,7,16,0,5,0,16,83,0,5,0,131,155,1,7,1,7,16,0,5,0,16,83,0,5,0,true
0.283401,1,2,2,0.130435,0.132597,24,24,1,0,0,3,2,0,0,6,9,0,0,0,0,0,4,0,0,0,0,0,0,0,181,184,1,0,1,0,3,0,3,0,3,25,0,3,0,181,184,1,0,1,0,3,0,3,0,3,25,0,3,0,false
0,0,0,0,0,0,0,0,1,0,0,3,5,13,0,7,10,0,0,0,0,0,1,0,0,2,3,13,19,1,12,15,5,8,0,0,3,0,0,0,21,5,0,15,5,12,15,5,8,0,0,3,0,0,0,21,5,0,15,5,false
0,0,0,0,0,0,0,0,0,0,0,2,1,7,3,1,3,0,0,0,0,0,3,0,0,1,1,0,0,1,8,10,0,0,0,0,2,0,2,0,6,2,0,6,0,8,10,0,0,0,0,2,0,2,0,6,2,0,6,0,false
0,0,0,0,0,0,0,0,1,3,3,34,21,6,5,41,60,0,0,0,0,0,14,0,0,3,4,0,0,1,142,166,9,8,4,4,19,0,13,2,34,77,0,24,7,142,166,9,8,4,4,19,0,13,2,34,77,0,24,7,true
0,0,0,0,0,0,0,0,1,0,0,8,3,11,19,2,10,0,0,0,0,0,7,0,0,3,4,7,7,1,32,42,7,10,2,2,8,0,6,2,27,10,0,21,7,32,42,7,10,2,2,8,0,6,2,27,10,0,21,7,false
0,0,0,0,0,0,0,0,1,1,1,2,4,18,0,5,6,0,0,0,0,0,1,0,0,2,3,18,65,1,13,14,5,8,0,0,1,0,0,0,19,6,0,15,5,13,14,5,8,0,0,1,0,0,0,19,6,0,15,5,false
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.5,0.2,4,3,1,1,0.2,4,0,0,0,0,0,16,18,0,0,0,0,1,0,1,1,1,7,0,1,1,16,18,0,0,0,0,1,0,1,1,1,7,0,1,1,false
0,0,0,0,0,0,0,0,1,0,0,9,11,2,2,5,14,0,0,0,0,0,10,0,0,3,5,0,0,4,42,53,7,8,2,4,9,0,9,0,24,13,0,20,5,42,53,7,8,2,4,9,0,9,0,24,13,0,20,5,false
0.541667,1,3,1,0.538462,0.636364,14,14,1,0,0,2,3,2,0,1,3,0,0,0,0,0,3,0,0,1,1,0,0,1,13,17,3,1,2,1,2,2,2,0,2,2,3,2,0,22,26,3,1,2,1,3,2,3,0,3,5,3,3,0,false
1,1,3,1,1,1,11,11,1,1,1,2,4,0,0,1,2,0,0,0,0,0,2,0,0,1,1,0,0,1,11,11,0,0,0,0,1,0,1,0,1,3,0,1,0,11,11,0,0,0,0,1,0,1,0,1,3,0,1,0,false
0,0,0,0,0,0,0,0,1,0,0,9,11,3,3,6,15,0,0,0,0,0,10,0,0,3,5,0,0,4,42,52,7,8,2,4,9,0,9,0,24,13,0,20,5,42,52,7,8,2,4,9,0,9,0,24,13,0,20,5,false
